ID_zbozi,ID_lekarna,ID_vedouci,datum,pocet_prodanych_ks,nakupni_cena_CZK,prodejni_cena_CZK,marze_CZK,trzba_CZK
655,4,1,20.05.2024,8,134,149,15,120
105,22,24,06.10.2024,3,322,399,77,231
31,3,7,29.04.2024,17,328,348,20,340
204,23,21,25.12.2024,18,234,269,35,630
604,9,26,04.01.2024,6,377,468,91,546
285,5,7,21.06.2024,4,67,82,15,60
368,28,12,05.11.2024,9,433,463,30,270
471,18,4,12.07.2024,3,302,357,55,165
644,20,29,04.07.2024,19,118,161,43,817
47,22,8,28.05.2024,3,457,528,71,213
104,13,9,20.08.2024,12,103,125,22,264
215,22,9,25.12.2024,3,331,442,111,333
547,24,8,24.03.2024,15,214,251,37,555
948,21,23,12.10.2024,8,370,442,72,576
787,25,2,27.04.2024,2,432,515,83,166
275,3,7,17.10.2024,11,128,172,44,484
406,29,30,25.11.2024,15,93,109,16,240
253,24,18,02.10.2024,9,402,528,126,1134
920,19,13,04.07.2024,8,90,115,25,200
94,25,2,26.02.2024,5,341,383,42,210
697,14,20,02.02.2024,13,215,283,68,884
480,17,9,10.10.2024,1,368,506,138,138
699,29,18,16.05.2024,11,77,91,14,154
162,15,1,14.05.2024,17,410,463,53,901
935,4,28,16.11.2024,10,450,602,152,1520
624,7,5,10.07.2024,6,296,438,142,852
945,17,30,01.01.2024,20,185,235,50,1000
115,30,12,06.06.2024,8,49,57,8,64
581,3,3,05.09.2024,3,409,527,118,354
129,5,22,31.08.2024,18,104,122,18,324
894,20,14,18.04.2024,18,406,560,154,2772
206,23,10,23.07.2024,12,244,355,111,1332
463,4,8,25.04.2024,3,193,204,11,33
568,8,19,22.04.2024,1,56,77,21,21
61,8,3,17.01.2024,11,56,72,16,176
286,22,16,19.04.2024,18,87,120,33,594
904,19,19,30.08.2024,8,421,532,111,888
417,7,4,19.02.2024,14,201,249,48,672
479,28,24,28.01.2024,4,51,63,12,48
348,26,28,25.02.2024,8,118,134,16,128
460,5,14,03.04.2024,9,256,298,42,378
946,3,15,08.10.2024,4,45,60,15,60
554,27,1,17.02.2024,8,105,129,24,192
493,7,28,24.07.2024,2,104,127,23,46
400,9,30,20.08.2024,10,236,322,86,860
749,26,18,04.12.2024,16,99,112,13,208
223,2,19,04.10.2024,2,402,479,77,154
52,19,16,14.09.2024,17,100,108,8,136
521,3,28,05.04.2024,3,324,350,26,78
883,8,13,02.03.2024,19,146,191,45,855
41,20,3,02.08.2024,19,309,397,88,1672
958,9,7,08.12.2024,11,142,166,24,264
135,22,21,02.06.2024,15,181,266,85,1275
959,3,1,22.08.2024,20,308,461,153,3060
76,18,7,16.09.2024,9,87,128,41,369
903,3,29,05.05.2024,12,165,185,20,240
854,18,23,03.06.2024,20,433,582,149,2980
9,22,27,10.10.2024,10,497,670,173,1730
962,29,5,15.05.2024,4,475,522,47,188
567,5,9,24.05.2024,20,127,174,47,940
209,22,21,15.05.2024,17,270,314,44,748
930,28,2,17.02.2024,14,444,521,77,1078
4,11,25,07.03.2024,9,102,141,39,351
565,23,14,14.10.2024,1,77,83,6,6
905,23,29,17.03.2024,18,38,54,16,288
597,18,5,08.08.2024,5,41,49,8,40
921,30,26,21.01.2024,12,127,172,45,540
683,4,12,13.10.2024,14,337,468,131,1834
948,30,8,24.03.2024,6,471,582,111,666
184,24,30,19.06.2024,14,430,581,151,2114
753,26,8,16.05.2024,6,423,578,155,930
392,28,2,28.08.2024,8,122,173,51,408
472,12,10,26.04.2024,8,32,43,11,88
409,11,9,05.02.2024,9,199,266,67,603
410,22,27,01.10.2024,11,500,531,31,341
899,9,6,24.10.2024,9,39,43,4,36
445,12,24,09.06.2024,14,330,493,163,2282
119,13,29,22.10.2024,7,150,160,10,70
447,1,17,02.10.2024,7,206,256,50,350
972,22,30,18.06.2024,20,180,243,63,1260
128,24,29,02.06.2024,17,178,240,62,1054
335,13,23,31.05.2024,18,85,97,12,216
681,13,22,30.03.2024,20,311,369,58,1160
562,27,1,04.06.2024,10,127,158,31,310
594,20,21,13.06.2024,15,246,307,61,915
219,17,16,27.03.2024,3,165,212,47,141
649,20,11,17.02.2024,8,364,433,69,552
826,7,5,13.01.2024,2,145,216,71,142
626,28,25,07.02.2024,15,232,336,104,1560
590,7,23,22.12.2024,13,273,336,63,819
152,21,23,03.01.2024,4,418,519,101,404
181,26,23,22.09.2024,15,45,59,14,210
940,28,4,21.08.2024,5,430,541,111,555
544,18,20,11.06.2024,15,333,472,139,2085
914,17,14,07.10.2024,15,479,537,58,870
883,16,15,12.05.2024,8,450,602,152,1216
785,25,17,05.09.2024,8,160,200,40,320
731,10,8,19.05.2024,11,183,266,83,913
83,5,5,28.04.2024,13,375,420,45,585
220,3,14,27.07.2024,11,297,374,77,847
64,7,27,03.08.2024,13,483,674,191,2483
969,23,1,21.10.2024,13,264,278,14,182
361,10,25,18.07.2024,14,295,409,114,1596
560,26,20,22.04.2024,16,132,155,23,368
498,1,13,21.06.2024,13,390,438,48,624
479,30,5,14.11.2024,18,33,48,15,270
607,19,22,14.01.2024,3,349,434,85,255
888,15,6,26.01.2024,9,214,256,42,378
466,11,11,13.07.2024,9,405,599,194,1746
432,9,27,11.02.2024,16,29,40,11,176
54,12,8,28.11.2024,3,419,620,201,603
42,25,1,06.05.2024,7,449,476,27,189
157,8,5,30.08.2024,4,308,455,147,588
477,23,9,07.07.2024,6,330,437,107,642
766,23,4,24.03.2024,10,75,98,23,230
952,10,19,12.12.2024,13,223,329,106,1378
204,3,19,19.12.2024,8,72,98,26,208
309,28,22,03.11.2024,4,427,637,210,840
802,2,12,29.09.2024,14,358,436,78,1092
519,21,11,07.01.2024,14,441,560,119,1666
444,12,21,23.08.2024,5,242,273,31,155
535,21,9,11.11.2024,18,416,527,111,1998
447,27,24,30.10.2024,9,185,265,80,720
851,30,3,22.05.2024,15,144,200,56,840
584,20,22,13.07.2024,11,34,43,9,99
333,6,16,18.04.2024,12,428,499,71,852
287,29,20,25.12.2024,9,304,321,17,153
971,7,3,03.05.2024,14,270,351,81,1134
247,23,16,26.11.2024,16,249,350,101,1616
96,10,8,26.07.2024,8,176,237,61,488
378,16,18,28.09.2024,12,237,355,118,1416
564,11,12,25.12.2024,15,158,188,30,450
237,4,24,08.04.2024,11,81,112,31,341
974,25,23,04.04.2024,7,130,180,50,350
284,24,19,25.09.2024,20,164,245,81,1620
853,7,10,26.04.2024,12,111,132,21,252
726,18,5,20.05.2024,2,47,61,14,28
715,5,21,08.09.2024,4,466,492,26,104
292,16,16,13.08.2024,11,114,169,55,605
259,28,16,28.02.2024,3,225,286,61,183
591,21,22,28.01.2024,5,96,136,40,200
972,10,3,07.05.2024,4,305,425,120,480
621,20,26,12.11.2024,8,417,536,119,952
462,30,15,01.06.2024,19,239,284,45,855
636,2,20,20.02.2024,7,340,389,49,343
677,3,6,02.05.2024,6,302,327,25,150
3,14,15,18.12.2024,20,260,307,47,940
238,10,23,24.05.2024,15,56,76,20,300
947,9,26,16.11.2024,19,358,505,147,2793
203,14,4,05.10.2024,8,351,392,41,328
273,27,5,06.02.2024,2,104,146,42,84
610,24,27,18.10.2024,10,244,270,26,260
706,10,23,25.07.2024,9,276,357,81,729
449,3,20,21.01.2024,14,396,473,77,1078
257,1,3,27.04.2024,19,320,473,153,2907
784,22,27,17.05.2024,19,40,56,16,304
180,16,17,29.11.2024,15,489,575,86,1290
600,14,21,08.09.2024,3,260,314,54,162
342,11,22,23.02.2024,6,188,232,44,264
508,10,22,24.07.2024,18,38,48,10,180
323,9,11,29.02.2024,13,462,592,130,1690
2,22,28,04.10.2024,15,231,248,17,255
531,12,20,12.09.2024,15,409,439,30,450
274,18,5,27.05.2024,15,470,641,171,2565
125,1,21,07.11.2024,8,383,429,46,368
565,1,18,27.07.2024,3,135,202,67,201
935,4,15,01.03.2024,5,275,404,129,645
299,17,23,19.05.2024,14,447,566,119,1666
484,8,15,09.10.2024,5,216,245,29,145
614,17,24,10.03.2024,3,161,225,64,192
875,14,11,16.09.2024,9,440,463,23,207
744,10,27,27.10.2024,19,357,454,97,1843
153,15,18,04.09.2024,12,190,247,57,684
557,13,15,13.06.2024,7,377,436,59,413
393,8,28,29.07.2024,2,182,252,70,140
723,30,26,14.07.2024,13,359,505,146,1898
668,5,16,19.01.2024,5,277,411,134,670
340,28,4,13.08.2024,4,289,422,133,532
16,24,5,28.07.2024,5,58,73,15,75
993,9,11,15.11.2024,13,352,382,30,390
337,28,22,30.09.2024,13,182,242,60,780
909,25,16,04.10.2024,2,336,363,27,54
647,22,30,27.05.2024,8,402,438,36,288
101,25,21,26.12.2024,4,247,278,31,124
307,29,1,24.01.2024,11,427,459,32,352
368,12,14,15.03.2024,8,291,360,69,552
699,26,6,28.03.2024,6,60,79,19,114
392,20,22,03.05.2024,16,487,639,152,2432
238,15,21,10.05.2024,15,150,203,53,795
921,26,15,27.05.2024,18,100,108,8,144
968,12,19,02.06.2024,14,373,434,61,854
866,10,7,15.07.2024,16,74,86,12,192
586,12,19,31.05.2024,10,31,46,15,150
675,13,9,05.01.2024,19,462,628,166,3154
763,2,30,06.11.2024,16,446,650,204,3264
294,25,26,27.04.2024,20,430,520,90,1800
652,7,20,08.05.2024,5,341,373,32,160
643,21,2,07.06.2024,15,37,48,11,165
750,5,3,31.05.2024,11,402,497,95,1045
206,5,26,03.10.2024,12,291,371,80,960
280,27,6,11.05.2024,16,432,511,79,1264
892,11,26,28.02.2024,15,58,65,7,105
990,8,28,12.12.2024,13,453,640,187,2431
375,3,26,21.07.2024,1,155,200,45,45
466,12,22,10.12.2024,9,319,390,71,639
654,12,4,11.12.2024,8,261,277,16,128
906,18,11,08.11.2024,8,351,379,28,224
844,15,30,24.12.2024,10,352,434,82,820
144,2,2,04.06.2024,16,79,86,7,112
909,18,5,17.07.2024,15,209,283,74,1110
761,23,18,02.08.2024,19,400,551,151,2869
907,14,21,20.02.2024,16,335,413,78,1248
975,9,2,19.12.2024,12,131,164,33,396
974,8,28,04.07.2024,4,371,451,80,320
924,21,12,01.02.2024,13,161,183,22,286
126,28,27,20.08.2024,3,359,411,52,156
655,20,1,26.01.2024,11,144,215,71,781
806,19,7,05.02.2024,18,126,166,40,720
833,28,8,17.06.2024,5,423,616,193,965
3,9,28,15.03.2024,5,296,344,48,240
179,4,22,14.01.2024,5,27,33,6,30
808,8,19,14.06.2024,1,109,127,18,18
130,24,14,26.09.2024,4,401,433,32,128
460,25,12,19.09.2024,19,75,94,19,361
227,20,2,03.12.2024,17,174,219,45,765
988,1,2,02.09.2024,13,238,323,85,1105
503,23,30,15.08.2024,3,480,521,41,123
623,5,3,05.03.2024,9,339,453,114,1026
562,23,11,14.07.2024,20,291,344,53,1060
518,20,14,20.02.2024,4,456,613,157,628
899,25,18,20.04.2024,14,251,364,113,1582
424,11,27,20.08.2024,13,232,320,88,1144
321,14,11,06.12.2024,9,211,312,101,909
704,30,16,04.02.2024,3,445,484,39,117
443,4,24,09.07.2024,5,304,327,23,115
980,18,18,17.06.2024,4,230,278,48,192
682,25,14,27.01.2024,10,327,389,62,620
107,19,17,18.04.2024,5,356,451,95,475
868,4,12,11.10.2024,12,78,109,31,372
588,8,26,07.08.2024,18,412,584,172,3096
629,22,21,12.10.2024,1,331,486,155,155
850,23,9,15.01.2024,6,159,217,58,348
317,30,11,28.06.2024,1,112,161,49,49
580,22,13,05.02.2024,5,399,533,134,670
32,3,24,28.09.2024,7,212,263,51,357
350,6,12,08.06.2024,11,417,615,198,2178
611,3,29,27.01.2024,5,100,139,39,195
51,22,3,19.05.2024,15,358,444,86,1290
622,15,14,19.05.2024,7,406,520,114,798
354,14,4,25.05.2024,19,269,346,77,1463
316,2,8,21.07.2024,20,48,51,3,60
309,7,25,11.03.2024,9,168,201,33,297
8,16,24,08.08.2024,6,86,105,19,114
721,8,17,13.10.2024,12,56,69,13,156
760,2,14,10.01.2024,15,491,533,42,630
321,19,14,20.10.2024,13,383,512,129,1677
297,4,13,11.01.2024,11,107,151,44,484
633,15,27,19.12.2024,12,65,81,16,192
109,8,14,28.10.2024,13,288,313,25,325
892,10,24,22.06.2024,8,190,266,76,608
79,17,21,28.02.2024,17,281,320,39,663
795,12,12,26.11.2024,5,140,153,13,65
263,7,6,04.11.2024,5,409,569,160,800
78,6,25,17.11.2024,16,257,357,100,1600
779,19,15,14.12.2024,19,349,466,117,2223
640,11,28,17.11.2024,11,97,121,24,264
481,15,21,04.06.2024,9,322,346,24,216
520,3,10,24.08.2024,15,39,42,3,45
852,10,3,26.11.2024,3,334,440,106,318
394,15,19,10.10.2024,2,250,365,115,230
586,21,7,13.06.2024,20,263,335,72,1440
981,2,15,22.02.2024,11,385,419,34,374
662,6,2,06.05.2024,15,244,314,70,1050
625,6,12,09.07.2024,10,218,269,51,510
347,22,20,27.01.2024,11,53,64,11,121
572,22,13,25.05.2024,9,390,559,169,1521
